title,author,book_id,source,cover_url,asset_file,decision,confidence,reason
Agamemnon,Aeschylus,agamemnon,standard-ebooks,/covers/agamemnon.jpg,public/covers/covers/agamemnon.jpg,remove,1,public-domain Standard Ebooks cover
Agnes Grey,Anne Brontë,agnes-grey,standard-ebooks,/covers/agnes-grey.jpg,public/covers/covers/agnes-grey.jpg,remove,1,public-domain Standard Ebooks cover
Albert Savarus,Honoré de Balzac,albert-savarus,standard-ebooks,/covers/albert-savarus.jpg,public/covers/covers/albert-savarus.jpg,remove,1,public-domain Standard Ebooks cover
Alice Adams,Booth Tarkington,alice-adams,standard-ebooks,/covers/alice-adams.jpg,public/covers/covers/alice-adams.jpg,remove,1,public-domain Standard Ebooks cover
Alice’s Adventures in Wonderland,Lewis Carroll,alices-adventures-in-wonderland,standard-ebooks,/covers/alices-adventures-in-wonderland.jpg,public/covers/covers/alices-adventures-in-wonderland.jpg,remove,1,public-domain Standard Ebooks cover
All Quiet on the Western Front,Erich Maria Remarque,all-quiet-on-the-western-front,standard-ebooks,/covers/all-quiet-on-the-western-front.jpg,public/covers/covers/all-quiet-on-the-western-front.jpg,remove,1,public-domain Standard Ebooks cover
Allan Quatermain,H. Rider Haggard,allan-quatermain,standard-ebooks,/covers/allan-quatermain.jpg,public/covers/covers/allan-quatermain.jpg,remove,1,public-domain Standard Ebooks cover
Allan Quatermain Stories,H. Rider Haggard,allan-quatermain-stories,standard-ebooks,/covers/allan-quatermain-stories.jpg,public/covers/covers/allan-quatermain-stories.jpg,remove,1,public-domain Standard Ebooks cover
All's Well That Ends Well,William Shakespeare,alls-well-that-ends-well,standard-ebooks,/covers/alls-well-that-ends-well.jpg,public/covers/covers/alls-well-that-ends-well.jpg,remove,1,public-domain Standard Ebooks cover
An Antarctic Mystery,Jules Verne,an-antarctic-mystery,standard-ebooks,/covers/an-antarctic-mystery.jpg,public/covers/covers/an-antarctic-mystery.jpg,remove,1,public-domain Standard Ebooks cover
